E_q,N_q,U_q
22402,28118,-2
22495,28166,-4
22588,28214,1
22681,28260,-5
22773,28306,-1
22865,28351,-4
22956,28395,-3
23047,28439,2
23137,28482,3
23226,28524,1
23315,28565,-6
23404,28606,-4
23492,28646,0
23579,28686,-1
23666,28724,2
23753,28762,-1
23839,28799,-1
23924,28836,0
24009,28871,1
24093,28906,-2
24177,28941,-6
24260,28974,-4
24342,29007,0
24424,29039,3
24506,29071,-4
24587,29101,-5
24667,29131,-3
24747,29160,-3
24826,29189,-4
24905,29216,-7
24983,29243,-3
25061,29270,-5
25138,29295,6
25214,29320,-4
25290,29344,-11
25365,29367,7
25440,29390,-6
25514,29412,-2
25588,29433,3
25661,29453,-3
25733,29472,2
25805,29491,-8
25876,29509,-12
25947,29527,-12
26017,29543,-6
26086,29559,-2
26155,29574,-5
26224,29589,7
26291,29602,0
26359,29615,-2
26425,29628,-6
26491,29639,-10
26556,29650,-2
26621,29660,-5
26685,29669,1
26749,29677,-7
26812,29685,4
26874,29692,-8
26936,29698,-9
26997,29704,1
27058,29708,-6
27117,29712,-1
27177,29715,-1
27235,29718,-7
27293,29719,0
27351,29721,2
27408,29721,2
27464,29720,3
27520,29719,-3
27574,29717,-7
27629,29714,-5
27682,29711,-7
27736,29706,-6
27788,29701,1
27840,29696,1
27891,29689,-8
27942,29682,-5
27992,29674,0
28041,29665,-4
28090,29656,0
28138,29646,-3
28185,29635,-4
28232,29623,-2
28278,29610,-8
28323,29597,-8
28368,29583,-4
28413,29569,-1
28456,29553,-3
28499,29537,-4
28541,29520,-6
28583,29502,-1
28624,29484,-8
28664,29465,-2
28704,29445,-10
28743,29424,-4
28782,29403,1
28819,29381,-7
28857,29358,-3
28893,29335,-2
28929,29310,-13
28964,29285,-4
28998,29259,-1
29032,29233,-2
29066,29206,0
29098,29178,8
29130,29149,-16
29161,29120,0
29192,29089,-6
29222,29058,0
29251,29027,-2
29280,28994,-2
29307,28961,1
29335,28927,-3
29361,28893,-4
29387,28858,0
29413,28822,-2
29437,28785,2
29461,28748,4
29484,28709,5
29507,28670,0
29529,28631,-2
29550,28590,-4
29571,28549,-9
29591,28508,-5
29610,28465,-11
29629,28422,-7
29647,28378,-6
29664,28333,-3
29681,28288,-3
29697,28242,-8
29712,28195,-7
29727,28148,0
29740,28100,-3
29754,28051,-6
29766,28001,-6
29778,27951,-1
29790,27900,-2
29800,27848,2
29810,27796,-2
29819,27743,0
29828,27689,-5
29836,27634,-5
29843,27579,-8
29849,27523,2
29855,27467,-5
29860,27409,-1
29865,27351,-4
29869,27293,1
29872,27233,-12
29874,27173,-1
29876,27113,-1
29877,27051,-1
29878,26989,-11
29878,26927,-5
29877,26863,3
29875,26799,-6
29873,26734,-6
29870,26669,1
29867,26603,3
29862,26536,1
29857,26469,-1
29852,26401,3
29846,26332,2
29839,26262,-9
29831,26192,-5
29823,26121,1
29814,26050,-3
29804,25978,7
29794,25905,-8
29783,25832,-7
29771,25758,2
29759,25683,-1
29746,25608,-4
29732,25532,-8
29718,25455,-1
29703,25378,0
29687,25300,0
29671,25222,2
29654,25143,0
29636,25063,-1
29618,24982,-6
29599,24901,-2
29579,24820,-1
29559,24737,-7
29538,24655,-7
29516,24571,-7
29494,24487,4
29471,24402,-1
29447,24317,-8
29423,24231,-1
29398,24144,3
29372,24057,-5
29345,23969,-7
29319,23881,-3
29291,23792,-4
29263,23702,-6
29234,23612,2
29204,23521,-2
29174,23430,3
29143,23338,-5
29111,23245,6
29079,23152,-2
29046,23058,-1
29012,22964,-1
28978,22869,1
28943,22774,-6
28908,22677,-4
28871,22581,3
28835,22484,-2
28797,22386,-2
28759,22288,1
28720,22189,-5
28680,22089,1
28640,21989,-6
28600,21889,-3
28558,21788,2
28516,21686,0
28474,21584,-2
28430,21481,6
28386,21378,2
28342,21274,-4
28296,21170,0
28251,21065,-13
28204,20959,-1
28157,20853,2
28109,20747,2
28061,20640,-4
28012,20533,-3
27962,20425,-5
27911,20316,-5
27861,20207,0
27809,20097,0
27757,19987,4
27704,19877,4
27650,19766,1
27596,19654,4
27542,19542,7
27486,19430,-6
27430,19317,-2
27374,19203,-3
27317,19089,-8
27259,18975,-7
27200,18860,-1
27141,18744,-3
27082,18628,-6
27021,18512,-2
26960,18395,-1
26899,18278,2
26837,18160,-2
26774,18042,6
26711,17923,1
26647,17804,-2
26583,17684,-7
26517,17564,-8
26452,17444,-1
26385,17323,0
26319,17201,7
26251,17080,0
26183,16957,-7
26114,16835,8
26045,16712,2
25975,16588,-1
25905,16464,-3
25834,16340,-2
25762,16215,-8
25690,16090,-4
25617,15964,-7
25544,15839,2
25470,15712,0
25395,15585,-3
25320,15458,2
25245,15331,1
25168,15203,2
25092,15074,3
25014,14946,-7
24936,14817,8
24858,14687,-1
24779,14557,-2
24699,14427,0
24619,14297,5
24538,14166,2
24457,14034,2
24375,13903,0
24293,13771,7
24210,13639,-1
24126,13506,-7
24042,13373,-3
23958,13240,2
23873,13106,3
23787,12972,-3
23701,12838,3
23614,12703,3
23527,12568,-4
23439,12433,5
23351,12297,2
23262,12161,2
23173,12025,-3
23083,11888,2
22992,11752,-5
22901,11614,-5
22810,11477,-6
22718,11339,0
22625,11201,9
22532,11063,-4
22439,10924,8
22345,10786,-2
22250,10646,7
22155,10507,2
22060,10367,3
21964,10228,-2
21867,10087,-1
21770,9947,-9
21673,9806,0
21575,9665,5
21476,9524,0
21378,9383,2
21278,9241,7
21178,9099,-4
21078,8957,1
20977,8815,2
20875,8672,0
20774,8529,-2
20671,8386,2
20569,8243,2
20465,8100,1
20362,7956,-1
20258,7812,2
20153,7668,2
20048,7524,5
19942,7379,2
19836,7235,7
19730,7090,5
19623,6945,7
19516,6800,4
19408,6654,-2
19300,6509,3
19191,6363,2
19082,6217,8
18973,6071,-3
18863,5925,9
18752,5779,-1
18642,5632,-4
18530,5486,7
18419,5339,5
18307,5192,3
18194,5045,10
18081,4898,0
17968,4751,-1
17854,4603,0
17740,4456,0
17626,4308,-2
17511,4161,-4
17396,4013,3
17280,3865,5
17164,3717,3
17048,3569,3
16931,3420,0
16813,3272,0
16696,3124,-1
16578,2975,8
16460,2827,4
16341,2678,4
16222,2529,3
16102,2380,-4
15982,2231,4
15862,2083,4
15742,1934,0
15621,1785,1
15499,1636,-5
15378,1487,-1
15256,1337,-3
15134,1188,9
15011,1039,5
14888,890,12
14764,741,2
14641,591,3
14517,442,2
14392,293,4
14268,143,4
14143,-6,3
14018,-156,1
13892,-305,-2
13766,-454,0
13640,-604,8
13513,-753,8
13386,-902,6
13259,-1052,5
13132,-1201,8
13004,-1350,0
12876,-1499,0
12747,-1648,4
12619,-1797,1
12490,-1947,-3
12361,-2096,8
12231,-2245,2
12101,-2394,9
11971,-2542,-3
11841,-2691,4
11710,-2840,5
11579,-2989,6
11448,-3137,3
11317,-3286,4
11185,-3435,-2
11054,-3583,1
10921,-3731,1
10789,-3880,2
10656,-4028,-4
10523,-4176,4
10390,-4324,0
10257,-4471,-1
10123,-4619,8
9989,-4767,1
9855,-4914,6
9721,-5062,3
9587,-5209,6
9452,-5356,2
9317,-5503,4
9182,-5650,1
9046,-5797,7
8911,-5943,3
8775,-6090,-2
8639,-6236,6
8503,-6382,14
8367,-6528,3
8230,-6674,2
8093,-6819,6
7956,-6965,-2
7819,-7110,5
7682,-7255,0
7545,-7400,8
7407,-7545,6
7269,-7690,4
7131,-7834,5
6993,-7978,3
6855,-8122,9
6716,-8266,11
6578,-8410,1
6439,-8553,1
6300,-8697,1
6161,-8839,3
6022,-8982,5
5882,-9125,0
5743,-9267,3
5603,-9409,0
5464,-9551,6
5324,-9693,7
5184,-9834,4
5044,-9975,0
4903,-10116,12
4763,-10257,-1
4623,-10397,1
4482,-10537,-4
4342,-10677,-4
4201,-10817,-3
4060,-10956,7
3919,-11096,-2
3778,-11234,-4
3637,-11373,1
3496,-11511,-2
3354,-11649,-3
3213,-11787,-2
3072,-11924,4
2930,-12061,3
2788,-12198,-2
2647,-12335,6
2505,-12471,0
2363,-12607,1
2221,-12742,3
2080,-12877,3
1938,-13012,2
1796,-13147,-1
1654,-13281,-2
1512,-13415,-4
1369,-13549,2
1227,-13682,-4
1085,-13815,2
943,-13948,7
801,-14080,-3
658,-14212,3
516,-14344,-1
374,-14475,5
232,-14606,0
89,-14736,7
-53,-14866,2
-195,-14996,2
-338,-15125,9
-480,-15255,8
-622,-15383,7
-764,-15511,7
-907,-15639,6
-1049,-15767,-2
-1191,-15894,-1
-1333,-16021,3
-1475,-16147,1
-1618,-16273,3
-1760,-16398,-3
-1902,-16523,8
-2044,-16648,3
-2186,-16772,-1
-2328,-16896,2
-2470,-17020,12
-2612,-17143,1
-2753,-17265,-2
-2895,-17388,5
-3037,-17509,0
-3178,-17631,-1
-3320,-17751,4
-3461,-17872,3
-3603,-17992,-4
-3744,-18111,-6
-3885,-18231,3
-4026,-18349,5
-4168,-18467,-4
-4309,-18585,1
-4449,-18702,7
-4590,-18819,0
-4731,-18935,-3
-4871,-19051,5
-5012,-19167,10
-5152,-19282,8
-5293,-19396,5
-5433,-19510,0
-5573,-19624,-3
-5713,-19737,6
-5852,-19849,-2
-5992,-19961,0
-6132,-20073,5
-6271,-20184,-1
-6410,-20294,3
-6549,-20404,1
-6688,-20514,11
-6827,-20622,-2
-6966,-20731,-9
-7104,-20839,2
-7243,-20946,-2
-7381,-21053,-4
-7519,-21160,4
-7657,-21266,0
-7794,-21371,3
-7932,-21476,3
-8069,-21580,-7
-8206,-21684,-7
-8343,-21787,0
-8480,-21890,1
-8617,-21992,4
-8753,-22093,1
-8889,-22195,-4
-9025,-22295,-1
-9161,-22395,5
-9297,-22494,6
-9432,-22593,-5
-9568,-22691,-1
-9703,-22789,5
-9837,-22886,-6
-9972,-22983,4
-10106,-23079,5
-10240,-23174,5
-10374,-23269,0
-10508,-23363,0
-10642,-23457,9
-10775,-23550,-2
-10908,-23642,4
-11040,-23734,0
-11173,-23826,4
-11305,-23916,-1
-11437,-24007,4
-11569,-24096,5
-11700,-24185,-1
-11832,-24273,-6
-11962,-24361,4
-12093,-24448,-8
-12224,-24535,0
-12354,-24621,1
-12484,-24706,5
-12613,-24791,6
-12743,-24875,3
-12872,-24958,-4
-13000,-25041,1
-13129,-25123,4
-13257,-25205,1
-13385,-25286,-3
-13512,-25366,2
-13640,-25446,1
-13767,-25525,2
-13893,-25603,0
-14020,-25681,4
-14146,-25758,1
-14271,-25835,1
-14397,-25911,-7
-14522,-25986,-2
-14647,-26061,-3
-14771,-26135,-4
-14895,-26208,-2
-15019,-26281,-4
-15143,-26353,0
-15266,-26424,1
-15388,-26495,5
-15511,-26565,3
-15633,-26634,-3
-15755,-26703,-2
-15876,-26771,0
-15997,-26838,1
-16118,-26905,-3
-16238,-26971,1
-16358,-27036,11
-16478,-27101,-1
-16597,-27165,-3
-16716,-27228,-5
-16834,-27291,-5
-16952,-27353,-3
-17070,-27414,-6
-17187,-27475,-1
-17304,-27535,0
-17421,-27594,-6
-17537,-27653,5
-17653,-27711,-11
-17768,-27768,-4
-17883,-27824,-6
-17998,-27880,-2
-18112,-27935,1
-18226,-27990,-4
-18339,-28043,0
-18452,-28096,-2
-18565,-28149,-6
-18677,-28200,0
-18789,-28251,-5
-18900,-28301,1
-19011,-28351,10
-19122,-28400,1
-19232,-28448,-4
-19341,-28495,3
-19451,-28542,-2
-19559,-28588,1
-19668,-28633,8
-19776,-28678,-5
-19883,-28722,-3
-19990,-28765,-1
-20097,-28807,-5
-20203,-28849,-5
-20309,-28890,-1
-20414,-28930,2
-20518,-28970,2
-20623,-29008,-3
-20727,-29047,-4
-20830,-29084,-6
-20933,-29121,5
-21035,-29157,-1
-21137,-29192,-3
-21239,-29226,-5
-21340,-29260,11
-21440,-29293,-1
-21541,-29325,-1
-21640,-29357,7
-21739,-29388,1
-21838,-29418,-4
-21936,-29447,-5
-22034,-29476,1
-22131,-29504,4
-22228,-29531,0
-22324,-29557,-2
-22419,-29583,0
-22515,-29608,-8
-22609,-29632,5
-22703,-29656,-4
-22797,-29679,-5
-22890,-29701,2
-22983,-29722,-2
-23075,-29743,-6
-23167,-29762,2
-23258,-29781,-8
-23348,-29800,2
-23438,-29817,3
-23528,-29834,-2
-23617,-29850,2
-23705,-29866,-6
-23793,-29880,-3
-23881,-29894,-7
-23967,-29907,-8
-24054,-29920,-2
-24140,-29931,-11
-24225,-29942,-3
-24310,-29952,-4
-24394,-29962,-9
-24478,-29970,-1
-24561,-29978,-5
-24643,-29985,-3
-24725,-29992,-4
-24807,-29998,-6
-24887,-30002,-3
-24968,-30007,-3
-25048,-30010,-6
-25127,-30013,2
-25206,-30015,-2
-25284,-30016,3
-25361,-30016,0
-25438,-30016,-4
-25515,-30015,-6
-25590,-30013,0
-25666,-30011,-5
-25740,-30007,-11
-25814,-30003,-1
-25888,-29999,-2
-25961,-29993,0
-26033,-29987,-4
-26105,-29980,-6
-26176,-29972,-6
-26247,-29964,4
-26317,-29954,-5
-26386,-29944,-3
-26455,-29934,-2
-26523,-29922,-6
-26591,-29910,-6
-26658,-29897,-6
-26725,-29883,-3
-26791,-29869,-6
-26856,-29853,0
-26921,-29838,-12
-26985,-29821,-4
-27048,-29803,-4
-27111,-29785,-12
-27173,-29766,6
-27235,-29747,-3
-27296,-29726,-5
-27356,-29705,-5
-27416,-29683,-5
-27475,-29661,-3
-27534,-29637,-4
-27592,-29613,-7
-27649,-29588,-3
-27706,-29563,-7
-27762,-29537,-2
-27818,-29510,-10
-27873,-29482,-6
-27927,-29453,-2
-27981,-29424,-7
-28034,-29394,-6
-28086,-29363,-5
-28138,-29332,-6
-28189,-29300,-1
-28240,-29267,-2
-28289,-29233,-4
-28339,-29199,3
-28387,-29164,-5
-28435,-29128,-4
-28482,-29092,-3
-28529,-29054,1
-28575,-29017,-1
-28621,-28978,-4
-28666,-28938,-5
-28710,-28898,-8
-28753,-28858,-7
-28796,-28816,-4
-28838,-28774,-3
-28880,-28731,-12
-28921,-28687,-7
-28961,-28643,-8
-29001,-28597,-6
-29040,-28552,-4
-29078,-28505,-9
-29116,-28458,-6
-29153,-28410,-2
-29189,-28361,-5
-29225,-28312,2
-29260,-28262,-4
-29294,-28211,-6
-29328,-28160,-9
-29361,-28107,0
-29394,-28054,3
-29426,-28001,-7
-29457,-27946,-4
-29487,-27892,-4
-29517,-27836,-5
-29546,-27780,-8
-29575,-27722,-7
-29603,-27665,-8
-29630,-27606,-9
-29656,-27547,-1
-29682,-27487,3
-29707,-27427,-8
-29732,-27366,-3
-29756,-27304,-8
-29779,-27241,-4
-29801,-27178,1
-29823,-27114,-6
-29845,-27050,-4
-29865,-26985,-5
-29885,-26919,-6
-29904,-26852,-4
-29923,-26785,-11
-29941,-26717,1
-29958,-26648,-1
-29974,-26579,-10
-29990,-26509,1
-30005,-26439,-5
-30020,-26368,-7
-30034,-26296,-7
-30047,-26223,-5
-30059,-26150,-2
-30071,-26076,-5
-30082,-26002,2
-30093,-25927,-2
-30103,-25851,-11
-30112,-25775,-5
-30120,-25698,-1
-30128,-25620,0
-30135,-25542,-5
-30141,-25463,-8
-30147,-25383,-6
-30152,-25303,-6
-30157,-25222,-4
-30161,-25140,-2
-30164,-25059,6
-30166,-24976,-5
-30168,-24892,-3
-30169,-24808,-3
-30169,-24724,1
-30169,-24639,-1
-30168,-24553,-6
-30166,-24467,0
-30164,-24380,4
-30161,-24292,-3
-30157,-24204,0
-30153,-24115,-4
-30148,-24026,-5
-30142,-23936,-7
-30136,-23845,-2
-30129,-23754,3
-30121,-23662,-1
-30113,-23570,-2
-30103,-23477,3
-30094,-23383,-6
-30083,-23289,0
-30072,-23194,2
-30060,-23099,-8
-30048,-23003,-3
-30035,-22907,-3
-30021,-22810,1
-30007,-22712,1
-29992,-22614,-1
-29976,-22515,-2
-29959,-22416,2
-29942,-22316,-2
-29924,-22216,0
-29906,-22115,-2
-29887,-22013,-2
-29867,-21912,2
-29847,-21809,-5
-29826,-21706,-6
-29804,-21602,-5
-29781,-21498,1
-29758,-21393,-2
-29734,-21288,-2
-29710,-21182,3
-29685,-21076,3
-29659,-20969,4
-29632,-20862,-1
-29605,-20754,-5
-29578,-20646,-4
-29549,-20537,-3
-29520,-20427,-4
-29490,-20318,-4
-29460,-20207,0
-29429,-20096,-9
-29397,-19985,3
-29365,-19873,1
-29332,-19761,5
-29298,-19648,-4
-29263,-19534,2
-29229,-19421,-5
-29193,-19306,1
-29156,-19191,-2
-29120,-19076,0
-29082,-18960,-3
-29044,-18844,3
-29005,-18727,0
-28965,-18610,-3
-28925,-18493,-5
-28884,-18375,2
-28842,-18256,1
-28800,-18137,-7
-28758,-18018,-6
-28714,-17898,-7
-28670,-17777,-5
-28625,-17657,-6
-28580,-17535,-6
-28534,-17414,-7
-28487,-17292,0
-28440,-17169,-3
-28392,-17046,-4
-28344,-16923,-8
-28294,-16799,0
-28245,-16675,-3
-28194,-16550,-3
-28143,-16425,-1
-28091,-16300,-1
-28039,-16174,1
-27986,-16048,-5
-27933,-15921,3
-27878,-15794,-3
-27823,-15667,-7
-27768,-15539,-1
-27712,-15411,-2
-27655,-15283,3
-27598,-15154,-1
-27540,-15024,1
-27482,-14895,4
-27422,-14765,3
-27363,-14634,0
-27302,-14503,3
-27241,-14372,-2
-27180,-14241,-1
-27117,-14109,-4
-27055,-13977,-3
-26991,-13844,-5
-26927,-13711,-4
-26863,-13578,0
-26797,-13445,-5
-26732,-13311,2
-26665,-13177,4
-26598,-13042,-1
-26530,-12907,7
-26462,-12772,3
-26394,-12636,2
-26324,-12500,0
-26254,-12364,-4
-26184,-12228,1
-26112,-12091,2
-26041,-11954,3
-25968,-11817,-1
-25896,-11679,-11
-25822,-11541,0
-25748,-11403,3
-25673,-11265,-1
-25598,-11126,-2
-25523,-10987,-5
-25446,-10848,0
-25369,-10708,-2
-25292,-10568,0
-25214,-10428,0
-25135,-10288,4
-25056,-10147,2
-24976,-10006,-6
-24896,-9865,-2
-24815,-9724,4
-24734,-9582,-1
-24652,-9441,3
-24570,-9299,4
-24486,-9156,-2
-24403,-9014,5
-24319,-8871,8
-24234,-8728,1
-24149,-8585,2
-24063,-8442,-5
-23977,-8298,3
-23890,-8154,0
-23803,-8011,1
-23715,-7866,-12
-23626,-7722,5
-23537,-7577,0
-23448,-7433,4
-23358,-7288,2
-23267,-7143,1
-23176,-6997,3
-23085,-6852,2
-22993,-6706,-5
-22900,-6560,-5
-22807,-6415,5
-22713,-6269,3
-22619,-6122,-5
-22525,-5976,4
-22430,-5829,-2
-22334,-5683,2
-22238,-5536,6
-22141,-5389,-1
-22044,-5242,2
-21947,-5095,-2
-21849,-4947,6
-21750,-4800,5
-21651,-4652,2
-21551,-4505,4
-21451,-4357,5
-21351,-4209,-2
-21250,-4061,1
-21149,-3913,3
-21047,-3764,-1
-20944,-3616,9
-20841,-3468,1
-20738,-3320,3
-20634,-3171,8
-20530,-3022,2
-20425,-2874,8
-20320,-2725,-3
-20215,-2576,-2
-20109,-2427,-1
-20002,-2278,2
-19895,-2129,5
-19788,-1980,6
-19680,-1831,14
-19572,-1682,-3
-19463,-1533,3
-19354,-1384,0
-19244,-1235,2
-19134,-1085,0
-19024,-936,7
-18913,-787,0
-18802,-637,-8
-18690,-488,-2
-18578,-339,-1
-18465,-190,0
-18352,-40,-1
-18239,109,4
-18125,258,3
-18011,408,3
-17896,557,5
-17782,706,0
-17666,856,-5
-17550,1005,-2
-17434,1154,-5
-17318,1303,7
-17201,1452,-1
-17084,1601,-2
-16966,1751,7
-16848,1900,-3
-16729,2048,1
-16611,2197,2
-16491,2346,6
-16372,2495,5
-16252,2644,2
-16132,2792,5
-16011,2941,1
-15890,3089,-1
-15769,3238,4
-15647,3386,6
-15525,3534,0
-15403,3683,6
-15280,3831,4
-15157,3979,6
-15033,4126,0
-14910,4274,0
-14786,4422,1
-14661,4569,4
-14537,4717,4
-14412,4864,-1
-14286,5011,4
-14161,5158,1
-14034,5305,6
-13908,5452,6
-13782,5598,-1
-13655,5745,10
-13527,5891,2
-13400,6037,-1
-13272,6183,6
-13144,6329,2
-13016,6475,2
-12887,6621,-2
-12758,6766,4
-12629,6911,2
-12499,7056,9
-12369,7201,9
-12239,7346,-2
-12109,7490,6
-11978,7634,2
-11847,7778,1
-11716,7922,6
-11585,8066,6
-11453,8209,8
-11321,8353,0
-11189,8496,2
-11056,8639,0
-10924,8781,1
-10791,8924,-6
-10658,9066,8
-10524,9208,7
-10391,9349,4
-10257,9491,11
-10123,9632,3
-9988,9773,7
-9854,9914,-5
-9719,10054,0
-9584,10194,-2
-9449,10334,11
-9314,10474,12
-9178,10614,-6
-9042,10753,4
-8906,10892,9
-8770,11030,2
-8634,11169,-3
-8497,11307,-1
-8360,11444,-2
-8223,11582,8
-8086,11719,-2
-7949,11856,5
-7811,11993,-2
-7674,12129,6
-7536,12265,1
-7398,12400,7
-7260,12536,7
-7122,12671,4
-6983,12806,1
-6844,12940,5
-6706,13074,-1
-6567,13208,0
-6428,13341,5
-6289,13474,4
-6149,13607,-5
-6010,13740,3
-5870,13871,5
-5730,14003,3
-5590,14135,8
-5450,14265,0
-5310,14396,-2
-5170,14526,2
-5030,14656,-2
-4889,14786,3
-4749,14915,-4
-4608,15044,7
-4467,15172,3
-4327,15300,6
-4186,15428,-2
-4045,15555,3
-3903,15682,1
-3762,15808,5
-3621,15934,-4
-3480,16060,1
-3338,16185,5
-3197,16310,6
-3055,16434,2
-2913,16558,2
-2772,16682,3
-2630,16805,6
-2488,16928,1
-2346,17050,-3
-2204,17172,1
-2062,17293,1
-1920,17414,6
-1778,17535,3
-1636,17655,0
-1494,17775,3
-1352,17894,2
-1210,18013,-1
-1068,18131,4
-925,18249,-3
-783,18366,6
-641,18483,-1
-499,18600,4
-356,18716,2
-214,18831,-2
-72,18947,6
71,19061,-1
213,19175,-2
355,19289,2
497,19402,-4
640,19515,-5
782,19627,0
924,19738,4
1066,19850,-1
1208,19960,3
1351,20071,-2
1493,20180,5
1635,20289,-1
1777,20398,2
1919,20506,4
2061,20614,4
2202,20721,-3
2344,20827,0
2486,20933,-4
2628,21039,-2
2769,21144,2
2911,21248,0
3052,21352,4
3194,21456,2
3335,21559,-1
3476,21661,-5
3618,21763,8
3759,21864,6
3900,21965,2
4041,22065,1
4182,22164,-4
4322,22263,1
4463,22362,2
4603,22460,1
4744,22557,9
4884,22654,2
5024,22750,0
5165,22845,2
5305,22940,-4
5444,23035,-3
5584,23129,7
5724,23222,4
5863,23315,0
6003,23407,2
6142,23498,5
6281,23589,7
6420,23680,5
6558,23769,-5
6697,23859,-1
6835,23947,-5
6974,24035,-2
7112,24122,-2
7250,24209,5
7388,24295,-7
7525,24381,-2
7663,24466,-3
7800,24550,2
7937,24634,-2
8074,24717,5
8211,24799,-2
8347,24881,-7
8484,24962,-1
8620,25043,-5
8756,25123,2
8892,25202,3
9027,25281,0
9163,25359,3
9298,25436,-2
9433,25513,0
9568,25589,6
9702,25664,-4
9836,25739,-4
9970,25813,7
10104,25887,2
10238,25960,0
10371,26032,-3
10504,26103,5
10637,26174,-2
10770,26245,0
10902,26314,2
11035,26383,1
11167,26451,1
11298,26519,-4
11430,26586,1
11561,26652,7
11692,26718,2
11822,26783,-1
11953,26847,-6
12083,26910,14
12212,26973,-1
12342,27036,0
12471,27097,-3
12600,27158,2
12729,27218,-3
12857,27278,-2
12985,27336,-3
13113,27395,-1
13241,27452,12
13368,27509,-2
13495,27565,-3
13621,27620,-3
13748,27675,6
13874,27729,9
13999,27782,-4
14125,27835,4
14250,27886,-4
14374,27938,-4
14499,27988,7
14623,28038,-7
14746,28087,-6
14870,28135,5
14993,28183,4
15116,28230,0
15238,28276,-1
15360,28322,5
15482,28366,-6
15603,28410,-9
15724,28454,-9
15844,28497,1
15965,28539,1
16084,28580,-3
16204,28620,-9
16323,28660,-5
16442,28699,-1
16560,28738,3
16678,28775,1
16796,28812,0
16913,28848,-1
17030,28884,0
17147,28918,-2
17263,28952,-6
17379,28986,-7
17494,29018,-4
17609,29050,-3
17723,29081,7
17837,29112,-12
17951,29141,-5
18065,29170,1
18177,29198,-1
18290,29226,0
18402,29252,3
18514,29278,-2
18625,29303,9
18736,29328,0
18846,29352,2
18956,29375,-3
19066,29397,-7
19175,29419,-10
19284,29439,-3
19392,29459,3
19500,29479,-4
19607,29497,5
19714,29515,-2
19820,29532,-3
19926,29549,-7
20032,29564,-6
20137,29579,3
20242,29593,3
20346,29607,5
20450,29619,-3
20553,29631,-4
20656,29642,4
20758,29653,1
20860,29662,-4
20962,29671,3
21062,29679,-4
21163,29687,6
21263,29694,4
21363,29700,0
21462,29705,-8
21560,29709,-7
21658,29713,6
21756,29716,0
21853,29718,-6
21949,29719,-2
22045,29720,-6
22141,29720,2
22236,29719,1
22331,29718,-3
22425,29715,-3
22518,29712,-5
22611,29709,-5
22704,29704,-1
22796,29699,-6
22888,29693,-1
22978,29686,-4
23069,29679,-4
23159,29670,-4
23248,29661,-1
23337,29652,-12
23426,29641,-11
23514,29630,-2
23601,29618,-3
23688,29605,2
23774,29592,0
23860,29578,-6
23945,29563,0
24029,29547,-5
24114,29530,1
24197,29513,0
24280,29495,-8
24363,29477,5
24445,29457,1
24526,29437,-6
24607,29416,-3
24687,29395,-3
24767,29372,-2
24846,29349,-3
24924,29325,-5
25002,29301,-2
25080,29276,0
25157,29249,-2
25233,29223,-6
25309,29195,-10
25384,29167,2
25459,29138,1
25532,29108,-1
25606,29078,0
25679,29047,-4
25751,29015,3
25823,28982,-4
25894,28949,-2
25964,28915,4
26034,28880,-8
26104,28844,-5
26172,28808,-3
26241,28771,-4
26308,28733,0
26375,28695,0
26442,28656,-6
26507,28616,-8
26573,28575,-6
26637,28534,1
26701,28492,-4
26765,28449,-2
26827,28406,-7
26890,28361,1
26951,28317,-4
27012,28271,-10
27073,28225,-2
27132,28178,-1
27191,28130,-8
27250,28082,2
27308,28032,-7
27365,27983,-1
27422,27932,0
27478,27881,-3
27533,27829,3
27588,27776,-5
27642,27723,-2
27696,27669,5
27749,27614,-4
27801,27559,-10
27853,27503,0
27904,27446,-3
27954,27388,-4
28004,27330,4
28053,27271,-2
28102,27211,-5
28150,27151,5
28197,27090,0
28244,27029,1
28290,26966,0
28335,26903,-5
28380,26840,-1
28424,26775,-10
28467,26710,-2
28510,26645,1
28552,26578,-4
28594,26511,-17
28635,26444,-3
28675,26375,-7
28714,26306,-4
28753,26237,-4
28791,26166,-7
28829,26095,-7
28866,26024,-5
28902,25951,-5
28938,25879,-1
28973,25805,-6
29007,25731,-7
29041,25656,-3
29074,25580,-11
29107,25504,-6
29138,25427,-4
29169,25350,-5
29200,25272,-4
29230,25193,0
29259,25114,-6
29287,25034,0
29315,24953,-2
29342,24872,1
29368,24790,-9
29394,24707,-7
29419,24624,-2
29444,24540,-8
29468,24456,-5
29491,24371,-5
29513,24286,-5
29535,24199,-7
29556,24113,0
29577,24025,0
29596,23937,-6
29615,23849,-5
29634,23759,6
29652,23669,-1
29669,23579,3
29685,23488,5
29701,23396,-5
29716,23304,1
29731,23211,0
29744,23118,-1
29758,23024,3
29770,22930,-6
29782,22835,-3
29793,22739,-5
29803,22643,-3
29813,22546,-7
29822,22448,3
29830,22351,-1
29838,22252,-4
29845,22153,0
29852,22053,-11
29857,21953,5
29862,21852,-5
29867,21751,-4
29870,21649,1
29873,21547,-7
29876,21444,-4
29877,21340,3
29878,21236,1
29879,21132,0
29878,21027,-2
29877,20921,-3
29876,20815,0
29873,20708,5
29870,20601,-3
29866,20494,4
29862,20386,-3
29857,20277,-5
29851,20168,-2
29845,20058,-2
29838,19948,3
29830,19837,-1
29821,19726,-7
29812,19614,-3
29802,19502,6
29792,19389,2
29781,19276,2
